Name,Lab Group,Year of PhD (as of September),Category,Submission title ,Abstract (~200 words)
Ana Nunez,Combes Lab,1st,talk,Stem Cell Model for Human Kidney Fibrosis,"With ~700 million individuals affected by chronic kidney disease (CKD) globally and no antifibrotic treatment currently approved for CKD patients, there is an urgent need to develop better models of human fibrotic kidneys to accelerate the discovery of novel therapies. In this regard, organoids have a proven ability to replicate aspects of genetic kidney disease and are amenable to high throughput screening. However,  complex processes such as fibrosis or CKD have not been comprehensively modelled with this in vitro approach. Here, we aim to generate the first human-derived in vitro 3D model of renal fibrosis, a common hallmark in CKD and end-stage renal disease patients, that would represent a significant advance for drug development and testing in this field. It will involve cutting edge organoid culture, imaging, and single cell transcriptional profiling."
Georgia Cuffe,Risbridger/Taylor Lab,1st,talk,Bipolar Androgen Therapy induces heterogenous changes in the abundance and localisation of the androgen receptor in advanced prostate cancer,"Background: Androgen deprivation therapy is the primary treatment for advanced prostate cancer. Despite sustained suppression of androgens, patients eventually develop castration-resistant prostate cancer and require further treatment. A new treatment is Bipolar Androgen Therapy (BAT), where patients rapidly cycle between castrate and supraphysiological testosterone levels to prevent tumours adapting to therapy. Clinical trials of BAT are promising, but patient responses vary.

Hypothesis & Aims: We hypothesised that changes in the expression of the androgen receptor (AR) and truncated AR-variants (ARVs) were associated with response to BAT. To test this, we profiled AR and ARVs in patient-derived xenografts (PDXs) of prostate cancer before and after treatment with BAT.

Methods: We treated five, phenotypically diverse PDXs (1x BAT-sensitive, 4x BAT-resistant) with vehicle or BAT (fortnightly, intramuscular injections, 1mg testosterone cypionate). Tumours were harvested at 24-hours, 5 days, and endpoint (7-weeks or 1000mm3). Expression of full-length AR (AR-FL), ARVs, and AR target-genes were measured using quantitative PCR. AR abundance and localisation were quantified using immunohistochemistry against different forms of the AR. 

Results: Untreated PDXs had heterogeneous patterns of AR-FL and ARV expression. Acute BAT treatment downregulated the expression of AR mRNA, except in tumours with structural rearrangements of the AR gene (i.e. 27.1, 27.2). BAT also decreased nuclear AR protein levels in a BAT-sensitive PDX (i.e. 201.1), but not in BAT-resistant PDXs. Changes in AR-FL persisted at 5 days and endpoint, despite fluctuations in testosterone over a cycle of BAT. Expression of ARV mRNA mirrored differences in protein levels. Expression of PSMA, an AR target-gene, was suppressed over time regardless of BAT response. 

Conclusions: In patient-derived models, reduced nuclear AR protein expression following BAT may define a subset of tumours sensitive to BAT alone. Combination therapies may be an alternative for tumours that are resistant to BAT, and are currently in clinical trials.
"
Georgina Stephens,Lazarus Lab,1st,talk,Exploring Uncertainty Tolerance in Monash University Medical Students,"Introduction: There is growing attention on uncertainty tolerance (UT) as a medical training competency, including assessment with UT scales. Yet little is known about how medical students experience uncertainty, nor factors that impact UT development. Accordingly, this research asked: ‘How do medical students experience and manage (i.e. tolerate) uncertainty?’, aiming to explore UT in preclinical and clinical students, and to evaluate the reliability and validity of UT scales in this population. 

Methods: Medical student experiences of uncertainty were explored through longitudinal qualitative research, using online forums, semi-structured interviews and reflective diaries. Evidence for UT scale reliability and validity was evaluated through systematic review and meta-analysis, including meta-analysis of Cronbach’s alphas, and assessment of multiple forms of validity evidence. 

Results: Students described a range of uncertainties: some related to learning medicine, others extended to professional and personal uncertainties. Multiple factors appeared to impact students’ UT, and were predominantly socially determined. Although responses to uncertainty described were predominantly negative (e.g. worry), reflections on uncertainty were predominantly positive (e.g. identifying learning opportunities). Meta-analysis of UT scale reliability identified significantly lower reliability among medical students than doctors. Validity evidence for UT scales was critically lacking for response processes.

Conclusion: This research highlights avenues for educational intervention that could develop students’ UT, including student- (e.g. reflective learning) and educator- (e.g. role modelling UT) led interventions. Currently, there is inadequate evidence for UT scale psychometrics among medical student populations, thus implementing these scales in high-stakes applications is cautioned. Future research exploring reasons underpinning identified population differences in UT scale reliability is warranted. "
María Hernaiz García,Fiorenza Lab,1st,talk,Biomechanics of the Neanderthal anterior dentition,"The aim of my PhD project is to examine the masticatory system of Neanderthals from a functional and biomechanical point of view. By carrying out 3D modelling of bones and teeth from a wide Neanderthal and modern human fossil sample and by virtually reconstruct the simulation of their chewing behaviour, I will be able to assess if Neanderthal cranio-dental morphology was truly adapted to resist powerful bite forces."
Mehran,Combes Lab,1st,talk,Using single cell and spatial transcriptomics to investigate kidney development and disease,"Realizing the full potential of single cell RNA sequencing (scRNA-seq) in biomedical science
has been hindered by the high cost of experiments, a lack of spatial context, and limited
capacity to analyze the resulting data. This project will focus on developing robust methods
and analysis pipelines to address these challenges in the context of kidney development and
disease. Cost reductions will be sought by establishing pipelines to demultiplex pooled
scRNA-seq samples. Optimized pooled sequencing methods will be used to generate
comprehensive profiles of diseased human kidney tissue in partnership with Monash
Medical Centre. Integrated analysis of scRNA-seq and novel spatial transcriptomic
approaches will be used to assess signaling interactions within intact cellular communities.
One focus will be the mechanisms of cell type specification during kidney development.
Understanding how renal cell types form will guide the production of cell types currently
missing from stem cell models of the human kidney. A second focus will be the molecular
mechanisms underlying human kidney disease in adulthood."
Qi Fan,Pocock Lab,1st,talk,Deciphering transcriptional control of germ cell development,"The Caenorhabditis elegans (C. elegans) germline is an efficient reproduction system driven by a GLP-1/Notch regulatory network to control germ cell proliferation and differentiation. It shares multiple features with germlines of other animals, such as the existence of a self-renewing germline stem cell population. By examining the C. elegans germline in vivo, we can investigate various germline functions such as germ cell maturation, cell signalling and apoptosis. The regulatory network controlling germline development requires precise transcriptional regulation. The C. elegans genome encodes 875 transcription factors. Based on germline-specific RNA-sequencing data from our lab, 368 of these transcription factors are expressed in the germline. However, the majority of these transcription factors are understudied. Through germline-specific transcription factor RNAi knockdown and phenotypic analysis of the germ cell behaviour, we will identify transcription factors that regulate germ line development and function. By further functional analysis of the of these transcription factors, we will gain understanding of transcriptional regulation in germline stem cell maintenance, cell fate specification, cell signalling and apoptosis."
Rajan Venkatraman,Kile/De Nardo lab,1st,talk,Molecular mechanisms of STING responses,"Pattern recognition receptors (PRRs) play a vital role in the detection of pathogens and danger signals within the innate immune system. Cyclic GMP-AMP synthase (cGAS) acts as PRR that detects cytosolic dsDNA, a common hallmark of infection. Additionally, cGAS can also recognise host dsDNA that leaks from the mitochondria or nuclei. Detection of dsDNA by cGAS induces the production of the novel cyclic dinucleotide (CDN) 2’3’-cGAMP. 2’3’-cGAMP binds and activates the endoplasmic reticulum resident protein Stimulator of Interferon Genes (STING).  Following activation, STING induces a potent type I interferon (type I IFN) response which stimulates transcription of interferon stimulated genes (ISGs). ISGs encode antiviral proteins that facilitates elimination of infected cells. Moreover, the cGAS-STING pathway also activates other non-IFN cellular responses via the transcription factor NF-κB and MAPKs to induce production of proinflammatory cytokines. Recent studies have established the importance of non-IFN STING responses in the context of immunity and disease. From murine models, the pathogenesis of the STING-mediated autoinflammatory disease, appears strongly dependent upon non-IFN response, such as NF-κB activation, rather than IRF3 activation. Similarly, non-IFN STING responses have been found to be critical for protection against HSV-1 viral infection and anti-tumour immunity. This illustrates the importance of studying the mechanism that mediate STINGs non-IFN responses , which can provide the groundwork for new therapeutics development.

Upon activation STING recruits the downstream kinase TANK-binding kinase 1 (TBK1) to induce the production of type I IFNs. Recently, TBK1 and its homologue IκB kinase epsilon (IKKε) have recently been shown to induce the canonical activation of NF-κB in response to STING activation. However, the mechanisms through which TBK1 and IKKε are activated and how they mediate STING responses remain poorly understood. My PhD project will focus on characterising the molecular mechanisms involved in the recruitment and activation of TBK1 and IKKε, and how they regulate downstream non-IFN STING responses."
Rand Zaza,Heng Lab,1st,talk,Combining immune modification and tissue engineering approaches for more effective stem cell-based therapy,"Mesenchymal stromal cells, also referred to as (mesenchymal stem cells; MSCs), are ideal candidates for regenerative medicine and cellular therapeutics due to several qualities they possess. Nowadays, MSCs are the subject of extensive research to explore their best applicable potential, and pinpoint the keys these cells hold that can open doors in the area of regenerative medicine and inflammatory disease amelioration. Cellular therapy approaches utilizing MSCs face the hindrances of MSC- heterogeneity, immunogenicity due to donor variability, their different routes of delivery and migratory capacity, and the mechanisms governing their immunomodulatory properties. 
This research project aims at addressing the regenerative and tissue repair potential of locally administered MSCs by implementing a new technology to generate a homogeneous, safe, and “under control” MSCs from PSCs for therapeutic applications that require differentiated MSCs to persist at the site of injury. 
On the other hand, this research project simultaneously addresses the apoptotic MSCs metabolite release that confers therapeutic efficacy of intravenously administered MSCs despite their quick clearance after administration. Building on previous findings we aim to identify metabolites released by apoptotic MSCs that are of relevance to their therapeutic outcomes, investigate how genetic deletion of PANX-1 channel in MSCs would affect their therapeutic effects in a lung disease model (PANX1 deletion will block the metabolites released from that channel during MSC apoptosis), and in relevance we aim to investigate how the therapeutic efficacy of MSC-apoptotic bodies compare to that of intravenously administered MSCs.
"
Harmanjeet Singh,Harvey Lab,1st,talk,Exploring the Hippo Signalling Pathway through high resolution Electron Microscopy,"Over recent years, the Hippo signalling pathway has emerged as a regulator of key developmental processes, including organ size and tissue growth. Initially identified in the fruit fly, Drosophila melanogaster, this evolutionarily conserved signalling pathway comprises of over 35 components, each fitting into a complex network feeding a central kinase cascade. Deregulation in Hippo signalling has been observed in several types of human cancers; therefore, it is crucial to understand the mechanisms by which the Hippo pathway components regulate tissue growth. 

Confocal microscopy approaches have been used to visualise protein dynamics, localisation, and abundance, and have provided important insights into Hippo signalling, however, these are limited by their resolution of 200nm. This often makes it difficult to definitively assess protein localisation at specific subcellular domains. Electron microscopy (EM), alternatively, provides high resolution (up to 0.2nm), ultra-structural details and has the potential to generate new insights into the subcellular localisation of Hippo pathway proteins and hence Hippo signal transduction. A recently developed EM technique which fuses an ascorbate peroxidase (APEX2) with a GFP binding peptide (GBP) can work with a growing library of GFP-bound proteins and allows for a versatile reporter tool to visualise GFP-bound protein localisation in EM.
"
Monika Mohenska,Polo Lab,1st,talk,Unraveling the epigenetic landscape of the reprogramming roadmap at single cell resolution,"Induced pluripotent stem cells (iPSCs), which are derived through the process of reprogramming from human somatic cells, have the potential to differentiate into any cell type of the body. iPSCs can be cultured in a naive state that resembles the preimplantation epiblast, or a primed state that resembles the post-implantation epiblast. In a recent study from our laboratory, naive and primed iPSCs were derived by reprogramming of human dermal fibroblasts through the use of different media. However, the underlying epigenetic mechanisms behind these conversions remain largely unknown. In this study, we have profiled the reprogramming epigenetic dynamics of these cells at high resolution using single cell assay for transposase-accessible chromatin sequencing. Our data identified various differential chromatin accessible regions across all of the cell states during reprogramming of fibroblasts into naive and primed iPSCs, as well as the cells refractory to the reprogramming process. Furthermore, we have jointly assessed the epigenetic landscape and gene expression of the reprogramming trajectory at single cell resolution revealing epigenetic specific information in cell fate commitment. Our extensive characterisation provides novel insight into the reprogramming roadmap of somatic cells into iPSCs."
Lauren Alesi,Hutt Lab,2nd,talk,Checkpoint inhibitor immunotherapy diminishes oocyte number and quality: consequences for fertility of female cancer survivors,"Conventional cytotoxic cancer therapies exert permanent damage to the ovary; hence, loss of fertility is a major concern for female reproductive-age cancer survivors. However, the landscape of cancer therapies is rapidly changing, with attention shifting to more personalised, targeted treatments. Immunotherapies, like checkpoint inhibitors anti-PD-L1 and anti-CTLA-4, harness the immune system to kill tumour cells. They are increasingly becoming a standard of care for many tumour types, including in the curative setting. But, their impacts on ovarian function and fertility are unknown. 

We evaluated the effect of anti-PD-1, anti-PD-L1 and anti-CTLA-4 antibodies on the ovary using tumour-bearing and tumour-free mouse models. In tumour bearing mice, combination immune checkpoint inhibition (anti-PD-1 + anti-CTLA-4) increased recruitment of CD4+ and CD8+ T cells to the ovary, and increased local TNF-α cytokine production. Disruptions to ovarian function were observed, with increased death (atresia) of pre-ovulatory ovarian follicles and fewer corpora lutea present (indicating reduced ovulations).

Profound and permanent impacts to ovarian function were also detected in tumour-free mice. PD-L1 or CTLA-4 blockade induced significant depletion of the non-renewable supply of primordial follicles (containing immature oocytes). Notably, in women, primordial follicle depletion is associated with early loss of fertility and premature menopause. Furthermore, the number of healthy, mature ovulated oocytes was significantly reduced following anti-CTLA-4 treatment, whereas anti-PD-L1 increased the number of fragmented/dead oocytes. 

Collectively, these data demonstrate that immune checkpoint inhibitors have the potential to impair both the immediate and future fertility of young women. Hence, fertility preservation should be strongly considered for women receiving these immunotherapies, and investigation of preventative strategies must be prioritised in future studies. "
Rebecca Cornell,Pocock Lab,2nd,talk,Neuronal Control of Mitochondrial Stress Responses and their Impact on Metabolism,"
Mitochondrial stress responses are essential molecular mechanisms that maintain homeostasis when an organism is faced with stress. Local stress responses can be communicated to distal tissues to enable global reactions to challenges, thereby increasing the chance of organismal survival. The nervous system is critical for coordinating systemic stress responses, yet the mechanisms by which this is achieved remain largely unknown. Using the model Caenorhabditis elegans, we aim to generate a more holistic understanding of how the nervous system controls distal mitochondrial function and health.

We previously showed that the E-twenty-six transcription factor ETS-5 controls intestinal fat storage from pair of head sensory neurons (the BAG neurons). Increased intestinal fat storage in the absence of ETS-5 induces a sleep-like state known as quiescence. As sleep and metabolic alterations are a hallmark of systemic stress responses, the combination of increased fat storage and quiescence in an ets-5 mutant implicates ETS-5 as a potential stress mediator. Our subsequent analysis revealed that ETS-5 indeed controls a highly specific systemic mitochondrial stress response. Furthermore, we found that the BAG neurons utilise several neuropeptide networks – both dependent and independent of ETS-5 – to illicit unique systemic mitochondrial stress responses. These responses have differing effects on organismal health and mitochondrial function, the full effects of which are being deciphered. 
"
Shemona Rozario,Lazarus Lab,2nd,talk,Exploring professional identity formation in junior doctors and registrars: A focus on anatomical pathology.,"Anatomical pathology is a critical specialty in the tissue diagnosis of diseases, such as cancers.  A current and anticipated anatomical pathology workforce shortage is predicted to delay diagnoses and the commencement of urgent treatment required for patients.  A cause of this workforce shortage has been a deficiency in professional identity development, from a lack of exposure, to anatomical pathology during the medical student and junior doctor years.  This research aims to explore, in depth, current perceptions and professional identity development in junior doctors interested in pursuing anatomical pathology training, and anatomical pathology registrars.  It is hoped these findings will help target areas of improvement to aid recruitment and training of future anatomical pathologists."
Tejasvini Bhuvan,Heng Lab,2nd,talk,The spleen is indispensable for the immunosuppressive activity of mesenchymal stromal cells in OVA allergic asthma,"In the past decade, mesenchymal stromal cells (MSCs) have developed a substantial portfolio in clinical trials, becoming the focus of many regenerative immunotherapies. Besides being multipotent and having self-renewal capacity, MSCs possess anti-inflammatory properties. However, the mechanisms underlying their immunosuppressive effects remain poorly understood. We showed that upon intravenous (i.v.) administration, MSCs localise to the lungs and undergo caspase 3-dependent apoptosis within 1 hour. Furthermore, efferocytosis of apoptotic MSCs modulated the effector functions of lung phagocytes, especially alveolar macrophages. Secondary lymphoid organs, such as the spleen, are responsible for trapping foreign antigens entering via bloodstream. Therefore, we expected to see the spleen as central to the establishment of anti-inflammatory effects seen in MSC therapy. In an OVA-induced allergic asthma model, the immunosuppressive effects of MSC administration were abrogated in splenectomised mice. MSCs failed to inhibit lung eosinophilia and OVA-specific T cell restimulation responsiveness, including IL-5 and IL-13 production, in splenectomised mice. Splenectomised mice treated with MSCs had comparable levels of mucous production to their untreated counterparts, evident through lung histology. Overall, the spleen is indispensable for the immunosuppressive effects of i.v.-injected MSCs in OVA allergic asthma. "
