Name,Lab Group,Year of PhD (as of September),Category,Submission title ,Abstract (~200 words)
Joanne Coyle,Arumugam Lab,2nd,talk,The Use of Min Waves to Understand Intrinsically Disordered Regions Involved in phase Separation,"Liquid liquid phase separation (LLPS) is a biological phenomenon whereby proteins separate out from the liquid cytoplasm into a phase separated compartment or “droplet”. These droplets are highly concentrated in protein and represent a dynamic environment in which proteins can easily flow in and out of. However, what causes a protein to phase separate? One of the comparable characteristics amongst proteins that undergo LLPS is that they contain stretches of amino acids that are intrinsically disordered. These intrinsically disordered regions (IDRs) take part in specific protein-protein interactions that drive proteins to phase separate. This project aims to further understand these interactions through the use of a reaction-diffusion system called Min waves. Min waves are formed through the attachment and detachment of two proteins on the bacteria cell membrane – MinD and MinE. These proteins produce visible wave patterns which can be reproduced on artificial lipid bilayers. By attaching IDRs relevant for phase separation onto MinD, the resulting IDR interactions can be studied by assessing the resulting wave patterns. Stronger and weaker IDR interactions result in different wave patterns. These waves can be mathematically modelled using coding software, giving an insight to the interactions in IDRs.
"
Varun Kumar Pandey,Das Lab,2nd,talk,Molecular dissection of epigenetic and epitranscriptomic pathways in gene regulation for the maintenance of the embryonic stem cells state,"Molecular dissection of epigenetic and epitranscriptomic pathways in gene regulation for the maintenance of the embryonic stem cells state

Varun Pandey, Pratibha Tripathi, Partha Pratim Das

Epigenetics and Gene Regulation Laboratory,Monash Biomedicine Discovery Institute, Department of Anatomy and Developmental Biology, Monash University, Clayton VIC 3800 Australia


Genetic information flows from DNA to RNA (transcription) and RNA to protein (translation) – referred to as the ‘central dogma’ of molecular biology. ‘Epigenetic’ modification takes place on DNA and histones without changing the DNA sequences to control transcriptional output (DNA to RNA). While ‘epitranscriptomic/ RNA epigenetic’ modification happens in RNAs (at the post-transcriptional level) without altering the RNA sequences to control RNA turnover and translation. Hence, RNA modifications add a new paradigm to the central dogma. To date, more than 150 RNA modifications have been identified in different classes of RNAs in various organisms; only a few of them are commonly occurring and emerging fields of study in gene regulation. Although epigenetic and epitranscriptomic modifications act at different layers of gene regulation programs, recently, a handful of studies revealed the ‘crosstalk’ between these two pathways in controlling gene expression. However, the underlying mechanisms are not yet fully understood and remain a critical area of research interest in the gene regulation field.
N6-methyladenosine (m6A) RNA methylation is the most abundant, and reversible internal RNA modification discovered in eukaryotic mRNAs, and non-coding RNAs (lncRNAs) play crucial roles in splicing, export, decay/stability and translation that ultimately control various biological processes. The deposition of m6A is catalyzed by the m6A-methyltransferases – METTL3, METTL14 (m6A-writers). Conversely, m6A deposition can be removed by m6A-demethylases – FTO and ALKBH (m6A-erasers). In addition, a group of m6A-binding proteins (m6A-readers) – such as  YTHDF1-3, YTHDC1-2, IGF2BP1-3 and HNRNPs — have been identified that recognise m6A in mRNAs and govern the fate of their targeted mRNAs. Nevertheless, current knowledge regarding the molecular and biological function of m6A-readers is incomplete and controversial. Hence, we have expanded the search to identify new m6A-readers in murine embryonic stem cells (mESCs), which identified UPF1 as a novel m6A-reader. My research focuses on investigating the molecular functions of UPF1 and its roles in maintaining the mESCs state. In addition, I found a physical interaction between LSD1/KDM1A (histone demethylase that removes H3K4me1,2 marks from histone tail) and YTHDF2 (m6A-reader) in mESCs. This emerged as a new avenue to study the crosstalk between epigenetic and epitranscriptomic pathways and their functions in gene regulation for the ESC maintenance that is currently underway. Altogether, these studies will delineate – the tasks of new m6A-reader protein in the m6A pathway; also establish further mechanistic details in connecting epigenetic and epitranscriptomic pathways for gene regulation – to maintain the ESC state, impacting regenerative biology. 

"
Harrison York,Arumugam Lab,2nd ,talk,Deterministic Early Endosomal Maturation Driven By EEA1 Noise Suppression,"Endosomal trafficking in single cells is built of generation of membrane vesicles, their motor protein mediated transport, morphological alterations such as tubulation, fusion and fission, and dynamic maintenance of various identities, which is defined by the lipid composition and localization of specific proteins on them. Endosomal maturation is a major process in endosomal trafficking in which endosomes shed one specific protein and acquire another, resulting in an identity change. Individual processes that build up endosomal trafficking, including conversions, are interlinked and are inherently stochastic. While the general biochemical interactions have been well described, how all the events come together to overcome the inherent noise and stochasticity is much less explored. Here, capitalising on the rapid volumetric imaging capability of Lattice-light sheet, we capture whole-cell volumes, enabling post-acquisition analysis of all conversion events as well as other dynamic characteristics. We show that early endosome maturation is driven by endosomal collision-induced conversions. Furthermore, using live-cell Förster Resonance Energy Transfer, we demonstrate that this is underpinned by cyclical conformational changes in EEA1, which promotes the biochemical maturation of these vesicles through its asymmetric binding capacity and clustering on the endosomal membranes. Using simulations, we recapture the experimentally observed characteristics in the reaction scheme and the activity of EEA1. Based on these experiments, we describe an EEA1-dependent mechanism that enables deterministic outcomes in ensemble endosomal conversions in an otherwise stochastic system."
Di Zheng,Heng Lab,3rd,talk,Extravascular MSC treatment induces immunoregulatory innate immune cells to dampen inflammation,"Mesenchymal stromal cells (MSCs) have anti-inflammatory and tissue-reparative potentials. As such, MSCs present as a therapeutic cell type in inflammatory diseases. However, the mechanisms underlying their immunoregulatory effects are not well understood. MSC secretomes are thought to mediate their therapeutic effects. Recent studies from our lab and others highlighted MSC apoptosis in the lung following intravenous infusion, as a critical step in MSC-induced immunoregulation. MSCs administered via extravascular routes do not undergo apoptosis in the lung but have also been shown to exert therapeutic benefits. To investigate the mechanisms in extravascular administration of MSCs, we have established a mouse model of localised inflammation with lipopolysaccharide (LPS) and injected MSCs either directly at the site of inflammation (ipsilateral) or at the contralateral side. MSC treatment dampened inflammation by inducing an increase in IL-10-expressing immunoregulatory innate immune cells in the draining lymph nodes. Injected MSCs were detected only at the site of injection, yet induced an increase in immunosuppressive molecules, indoleamine 2,3-dioxygenase, in splenic myeloid population. This suggests the potential role of splenic immunoregulation in extravascular MSC treatment. Our data indicate that innate immune cells in the secondary lymphoid organs are important mediators of the anti-inflammatory effects of MSC treatment."
Diji Kuriakose,Xiao Lab,3rd,talk,REGULATION OF UPSTREAM FACTORS OF miR-9/29a/107 IN NEUROGENESIS,"miR-9/29a/107 are key players in neurodegeneration. Hence, we foresee that identifying the upstream regulators of our miRNA biogenesis through QTL mapping in cc mice will reveal the genetic architecture behind this phenomenon. Further, functional studies from Neural Progenitor cells isolated from the hippocampus will identify roles in neurogenesis. This will unveil novel regulatory proteins that target miR-9/29a/107. The in vivo experiments in mice will further unveil the interaction between regulatory protein and miR-9/29a/107 in neurogenesis. The pathways associated with these factors will potentially open new therapeutic interventions to deal with age related cognitive decline and neurodegeneration."
Jasveena Kaur,Abud Lab,3rd,talk,The Role of the Enteric Nervous System in Regulating the Function of the Gastrointestinal Epithelium,"Normal functioning of the gastrointestinal tract involves the communication between multiple essential cell types located in close proximity, such as epithelial cells and the enteric nervous system (ENS). Studies have shown that intestinal epithelial stem cells express neurotransmitter receptors that may directly modulate stem cell fate and epithelial cell renewal upon activation. To test this, we aim to investigate the role of some of these candidate neurotransmitters in regulating the proliferation, differentiation and permeability of the epithelium using organoids as a model system. This may allow us to assess the contribution of the ENS in the progression of gastrointestinal diseases, which could be beneficial in providing targeted therapies for patients."
Kate Balka ,Kile/De Nardo Lab ,3rd,talk,Investigating the mechanisms of Stimulator of Interferon Genes (STING) subcellular localisation ,"Stimulator of Interferon Genes (STING) is a critical component of the innate immune response against microbial infection. Activation of STING is induced following the recognition of pathogen-associated molecular patterns (PAMPs) present within the host cell cytosol during infection. Following activation, STING signalling promotes the expression of type I interferons and pro-inflammatory cytokines to induce an immune response. In the steady state, STING is located on the endoplasmic reticulum (ER) membrane. Following activation, STING traffics to the Golgi, which is important for recruitment of key kinases (e.g. TBK1) for downstream signalling events. To prevent sustained inflammation, STING signalling is ultimately terminated within endolysosomal compartments. However, many questions still remain regarding the timing and mechanisms of STING relocalisation from the ER, and how this controls inflammatory STING responses. To understand the kinetics of STING signalling in macrophages I am utilising fluorescent live-cell microscopy approaches to characterise the dynamics of STING translocation across organelles and association with key known interactors. Additionally I have performed a global phosphoproteomic screen in primary murine macrophages following STING activation over time. Gene ontology (GO) analysis of proteins undergoing phosphorylation changes has shown time-dependent signatures. This screening approach also identified several novel proteins and phosphorylation events, not previously associated with the STING pathway. I am now using CRISPR/Cas9 editing to investigate the role of these proteins in regulating the STING response using both biochemical approaches and imaging tools I have generated. Aberrant cGAS-STING activation and/or disruption of STING localisation has been implicated in the pathogenesis of several autoimmune and inflammatory conditions. Therefore, understanding STING trafficking is important for effective therapeutic targeting of STING-associated inflammatory disease. 
"
Ullhas Kaarthi Moorthi,Arumugam Lab,3rd,talk,Role of EEA1 in Recycling Endosome biogenesis and Cargo sorting,"The Endosomal-network begins at the plasma membrane following endocytosis by undergoing successive fusion resulting in maturation. The Rab effector proteins APPL1 and EEA1 drive endosomes towards the peri-nuclear cloud. The first part of the Ph.D. thesis establishes the role of APPL1 and dynein specific to endosome maturation. The second part addresses how multivalent EEA1 provides a physical basis for endosomal fusion and identifies its role in colocalization with Rab22a, which mediates Recycling-endosome biogenesis. A combination of live-cell imaging and super-resolution microscopy will be utilized to tease-apart dynamic details and molecular distributions of tightly regulated vectoral endosomal maturation."
Zexiong Su,Liu Lab,3rd,talk,Mitochondrial calcium governed by cytoplasmic NAD+ regulates energy production,"The ability of cells to sense energy status and coordinate mitochondrial metabolism for energy homeostasis is critical for organismal development and survival. Mitochondrial calcium signaling has emerged as a key mediator of mitochondrial bioenergetics. Currently there is a significant knowledge gap regarding how mitochondrial calcium is adjusted to cellular energetics. Here, we report mitochondrial calcium in C. elegans muscle cells progressively decline during development and is modulated by cytosolic NAD+. We find that increasing cytoplasmic NAD+ level reduces mitochondrial calcium by promoting mitochondrial matrix calcium efflux. Examining mitochondrial calcium dynamics throughout development reveals a link between mitochondrial calcium handling and mitochondrial content. Intriguingly, decreased mitochondrial calcium with loss of mitochondrial calcium uniporter (MCU-1) also increases mitochondrial content and thus augments ATP production. Collectively, our data uncover a previously unidentified non-oxidative role of NAD+ in regulating mitochondrial calcium handling and reveal a novel mechanism of mitochondrial metabolic adaptation to cellular energy demands."
Abhishek Patil,Arumugam Lab,3rd,talk,Removing bottlenecks between image acquisition to analysis,"Lattice light-sheet microscopy, a rapid volumetric imaging technique, acquires images using a plane of excitation which results in images being acquired at an oblique angle. For a typical acquisition of two colour movies of endosomal trafficking at 4 volumes per second for 20 min, about 20 TB of data is generated. Visualisation of the data to adjudge the quality and proceed to analysis is the first bottleneck. This involves deskewing of the data and rapid visualisation. Visualization will be performed on a custom visualiser or using virtual reality (VR) The second bottleneck is image segmentation. While routines like water-shed segmentation can perform reasonably well, they are slow and computationally intensive. To speed this process up, machine learning based approaches will be employed. However, for this, training data sets that accurately capture the signal containing voxels. Post segmentation, curating the data is a cumbersome process. I plan to utilize VR with direct gesture controlled functions to swiftly generate training data set based on semi-manual approaches. Lastly, complete visualisation of all steps, including further analysis such as tracking and motility analysis will also be integrated in VR."
Rasoul Godini,Pocock Lab,3rd,talk,Dissecting the role of the Doublesex DMD-9 transcription factor in C. elegans,"Almost all multicellular organisms have two sexes that exhbit dimorphic molecular and morphological characteristics. Development, including sexually dimorphic development is regulated by transcription factors. In the nematode Caenorhabditis elegans, sexually dimorphic characteristics are regulated by transcription factors from Doublesex DNA Domain family. DMD-9 is a member of this family that shows a restricted expression pattern to a few unidentified sensory neurons. DMD-9 function is unknown. Here, I investigated the endogenous dmd-9 expression in both sexes of C. elegans, hermaphrodite and male, to identify potential sexually dimorphic expression patterns. TO enable this analysis, I used CRISPR-Cas9 to generate an in frame GFP knock-in at the last exon of dmd-9. Additionally, I performed RNA sequencing to identify alterations in the transcriptome in dmd-9 mutant animals. My results show that dmd-9 is expressed in several bilaterally-symmetric left/right pairs of sensory neurons in the head, including BAGL/R, AWBL/R, AWCL/R, and ASEL/R. In addition, I found that as animals become sexually mature, dmd-9 expression is lost in one of the AWCs. In addition, I identified 571 deregulated genes in dmd-9 mutants. My future research aims to dissect the precise functions for DMD-9 in the C. elegans nervous system."
Xinran Cheng,Liu Lab,3rd,talk,TIG-2 Modulates Age-Related Mobility Loss and Lifespan in C. elegans,"Aging, as a time-dependent physiological functional decline, is driven by multiple factors, and is accompanied by an increased risk of many chronic diseases, such as cardiovascular disorders, diabetes, cancer, and some neurodegeneration diseases. Among all age-related functional decline, locomotion impairment is one of the most prominent outcomes. Although slower movement with age could result from multi types of impairment in different tissues, previous research highlights the age-dependent changes at neuromuscular junctions (NMJs) play a key role in mobility loss. Given its short lifespan and tractable genetic tools, nematode C. elegans offers an ideal model for aging study, especially at genetic and cellular levels. Previous study has demonstrated that age-related decline in neurotransmission at NMJs directly induces slow locomotion in older C. elegans. However, the underlying biological principals of age-related functional deterioration at NMJs is still unclear. Here, we show that a genetic mutation in tig-2, a retrograde BMP signaling of TGF-β family not only slows age-related mobility loss, but also extends lifespan in C. elegans. Surprisingly, tig-2 mutant exhibit comparable presynaptic components and physiological function of body wall muscle cells as wild type worms, suggesting an unknown physiological function of TIG-2 in C. elegans. We also found the functional decay in NMJs by exposing worms to aldicarb and electrophysiology recording. In addition, the copy of mitochondria DNA is reduced in tig-2 mutant, which indicated the decreased number of mitochondria. The lower ATP level of tig-2 mutant compared with that of wide type worms is also consist with the mobility loss in the early life of C. elegans. "
Michael Bullen,Das Lab,3rd,talk,NSUN2 mediates m5C RNA methylation to control gene regulatory functions for maintaining the self-renewal of murine embryonic stem cells state,"NSUN2 mediates m5C RNA methylation to control gene regulatory functions for maintaining the self-renewal of murine embryonic stem cells state

Michael Bullen, Yogesh Kumar, Pratibha Tripathi and Partha Das


Epitranscriptomic or RNA epigenetic modifications take place at the post-transcriptional level in transcribed RNAs without altering any RNA sequences. Over 150 different types of RNA modifications have been identified in diverse classes of RNA in various organisms. However, recent advancement in high throughput sequencing technology has been able to map a few of these modifications, including 5-methylcytosine (m5C) transcriptome-wide, enabling the understanding of the molecular and biological functions of these RNA modifications. The m5C RNA methylation is catalysed by m5C-writers/methyltransferases (TRDMT1 and NSUN1-7) in various types of RNA, mostly in tRNA, rRNA and mitochondrial RNA, and a small number of mRNA. Putative m5C-erasers/demethylases (TETs) reverses this modification, while ALYREF is the only m5C-reader discovered so far that recognises m5C. To date, no studies have reported the roles of m5C in embryonic stem cells (ESCs). Thus, in my PhD study, I focus on investigating the roles of NSUN2 (the best-studied m5C methyltransferase) in murine ESCs (mESCs). To analyse the functions of NSUN2-mediated m5C RNA methylation in mESCs, we generated Nsun2 KO mESCs, which displayed a self-renewal defect. Subsequent molecular analyses determined NSUN2 mediates m5C RNA methylation predominantly in tRNA and mRNA, including several critical mESC-specific transcripts. Moreover, we demonstrated that NSUN2 regulates the deposition of m5C in mRNAs co-transcriptionally. The current investigation is underway to examine whether and how m5C RNA methylation controls tRNA and mRNA fates to define the self-renewal defects in Nsun2 KO. I anticipate this study will dissect the detailed molecular functions of NSUN2-mediated m5C RNA methylation in gene regulatory functions that are critical for maintaining the mESC state for the first time.
"
XUEBI CAI,Carroll Lab,3rd,talk,TOP3A is required for the maintenance of the ovarian follicular reserve and oocyte quality,"Purpose: 
Several lines of evidence from non-vertebrate organisms suggest TOP3A is critical for quality control in oocytes, with roles in the repair of meiotic DNA double strand breaks and DNA damage, and in the maintenance of mitochondrial DNA (mtDNA). Whilst compelling, the role of TOP3A in the gametes of mammalian species has never been established. Hence, this study aims to use novel mouse models to define the importance of TOP3A in the female gametes.

Methods:
Follicle Enumeration and in vitro fertilisation was conducted to determine the number and quality of TOP3A deficient oocytes. Microinjection of GFP-tagged TOP3A, in vitro oocyte maturation, and measurement of mtDNA copy number were performed to investigate the role of TOP3A in mitochondrial function.
	
Results:
Loss of Top3A leads to a dramatic loss of follicles in adult mice. Though the ovarian reserve is not compromised in young TOP3A oocyte-cKO mice, almost all the oocytes fail to be fertilized in vitro. Moreover, GFP-tagged TOP3A and mitochondria co-localized during the whole process of oocyte maturation, and mtDNA copy number in KO oocytes is significantly lower than that in WT oocytes.

Conclusions:
Top3A is required for healthy oocyte development and fertilization. Additionally, TOP3A is important for maintenance of mitochondrial function."
Michael Larcombe,Polo Lab,3rd,talk,Dissecting the Regulatory Complexes Controlling  Expression of the Pluripotency Factors,"Cellular identity is ultimately dictated by the interaction of transcription factors with regulatory elements (REs) to control gene expression. Genome-wide epigenome profiling techniques have significantly increased our understanding of cell-specific utilization of REs. However, it remains difficult to dissect the majority of factors interacting with these REs due to the lack of appropriate techniques. We developed TINC: TALE-mediated isolation of nuclear chromatin to dissect the factors responsible for cell-specific utilization of a RE. Using TINC we interrogated the protein complex formed at the Nanog promoter in embryonic stem cells, identifying known and novel complex members. To address the major limitations of single-locus proteomics technologies such as TINC, I’m currently optimizing tandem immunoprecipitation strategies to reduce non-specific enrichment of proteins.  
"
